;[Bacteroides]_pectinophilus_ATCC_43243;-  Human, Homo sapiens Host-associated 
;Klebsiella_pneumoniae_MGH_59; Urine Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_60; Sputum Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_63;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_64; Urine Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_65; Bile (fluid) Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_66; Urine Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_67;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_68;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_69;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_70;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_71;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_72;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_73;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_74;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_75;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_76;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_79;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MGH_80;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MRSN_1319;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MRSN_2404;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MRSN_3562;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MRSN_3852;  Human, Homo sapiens  
;Klebsiella_pneumoniae_MRSN_6902;  Human, Homo sapiens  
;Klebsiella_pneumoniae_NB60;    
;Klebsiella_pneumoniae_PR04;Negative  Human, Homo sapiens HostAssociated 
;Klebsiella_pneumoniae_RYC492;Negative  Human, Homo sapiens  
;Klebsiella_pneumoniae_SA1;    
;Klebsiella_pneumoniae_T2-1-1;  Human, Homo sapiens  
;Klebsiella_pneumoniae_T2-1-2;  Human, Homo sapiens  
;Klebsiella_pneumoniae_T69;    
;Klebsiella_pneumoniae_UCI_17;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_18;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_19;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_20;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_21;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_22;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_25;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_26;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_33;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_34;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_37;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_38;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_41;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_42;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_43;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_44;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_55;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_56;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_59;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_60;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_61;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_62;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_63;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_64;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_67;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCI_68;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCICRE_1;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCICRE_10;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCICRE_13;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCICRE_14;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCICRE_2;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCICRE_4;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCICRE_6;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCICRE_7;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UCICRE_8;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC_52;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC01;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC02;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC04;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC05;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC06;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC07;    
;Klebsiella_pneumoniae_UHKPC07;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC07;    
;Klebsiella_pneumoniae_UHKPC07;    
;Klebsiella_pneumoniae_UHKPC09;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC17;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC179;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC18;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC22;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC23;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC24;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC26;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC27;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC28;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC29;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC31;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC32;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC33;    
;Klebsiella_pneumoniae_UHKPC33;    
;Klebsiella_pneumoniae_UHKPC33;    
;Klebsiella_pneumoniae_UHKPC33;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC33;    
;Klebsiella_pneumoniae_UHKPC40;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC45;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC47;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC48;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC57;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC59;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC61;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC67;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC69;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC77;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC81;  Human, Homo sapiens  
;Klebsiella_pneumoniae_UHKPC96;  Human, Homo sapiens  
;Klebsiella_pneumoniae_VA360;Negative  Human, Homo sapiens  
;Klebsiella_pneumoniae_VAKPC252;  Human, Homo sapiens  
;Klebsiella_pneumoniae_VAKPC254;  Human, Homo sapiens  
;Klebsiella_pneumoniae_VAKPC269;  Human, Homo sapiens  
;Klebsiella_pneumoniae_VAKPC270;  Human, Homo sapiens  
;Klebsiella_pneumoniae_VAKPC276;  Human, Homo sapiens  
;Klebsiella_pneumoniae_VAKPC278;  Human, Homo sapiens  
;Klebsiella_pneumoniae_VAKPC280;  Human, Homo sapiens  
;Klebsiella_pneumoniae_VAKPC297;  Human, Homo sapiens  
;Klebsiella_pneumoniae_VAKPC309;  Human, Homo sapiens  
;Klebsiella_pneumoniae_hvKP1;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_002SK2;    env_biome:water
;Klebsiella_pneumoniae_strain_01016;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_01145;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_01212;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_0125A_56_47;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_04017;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_04021;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_04051;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_04079;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_064B6;    
;Klebsiella_pneumoniae_strain_064C6;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_07005;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_07071;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_07073;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_071G9;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_0773;    
;Klebsiella_pneumoniae_strain_0773;    
;Klebsiella_pneumoniae_strain_08131;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_08169;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_08EU827;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_09138475RyC;    
;Klebsiella_pneumoniae_strain_1;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1;  Human, Homo sapiens  env_biome:Homo sapiens
;Klebsiella_pneumoniae_strain_1-RC-16-27663;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1-RC-16-28226;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1-RC-17-01140-2;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1-RC-17-01153;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1-RC-17-04134-3;    
;Klebsiella_pneumoniae_strain_1-RC-17-04409-2;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1.N3KP;    
;Klebsiella_pneumoniae_strain_10;    
;Klebsiella_pneumoniae_strain_10;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1002865;    
;Klebsiella_pneumoniae_strain_1003784;    
;Klebsiella_pneumoniae_strain_1009100;    
;Klebsiella_pneumoniae_strain_1009748;    
;Klebsiella_pneumoniae_strain_101;    
;Klebsiella_pneumoniae_strain_101;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1010363;    
;Klebsiella_pneumoniae_strain_1010_KPNE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1012_KPNE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1013;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_101436;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1014809;    
;Klebsiella_pneumoniae_strain_101488;Negative  Human, Homo sapiens Multiple 
;Klebsiella_pneumoniae_strain_1016874;    
;Klebsiella_pneumoniae_strain_101712;Negative  Human, Homo sapiens Multiple 
;Klebsiella_pneumoniae_strain_101731;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1018775;    
;Klebsiella_pneumoniae_strain_1023162;    
;Klebsiella_pneumoniae_strain_10271;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_102B8;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#1;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#10;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#11;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#12;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#13;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#17;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#18;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#19;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#2;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#20;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#22;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#23;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#24;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#27;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#28;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#29;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#3;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#31;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#32;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#34;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#38;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#39;    
;Klebsiella_pneumoniae_strain_10315_6#41;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#42;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#43;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#44;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#45;    
;Klebsiella_pneumoniae_strain_10315_6#49;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#5;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#51;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#52;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#54;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#57;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#58;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#59;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#6;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#60;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#61;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#62;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#65;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#66;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#67;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#68;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#69;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#7;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#70;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#71;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#72;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#73;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#74;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#75;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#76;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#77;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#78;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#79;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#8;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#80;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#82;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#85;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#87;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#88;    
;Klebsiella_pneumoniae_strain_10315_6#89;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#9;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#92;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#93;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#95;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10315_6#96;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1035290;    
;Klebsiella_pneumoniae_strain_10356_5#76;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10356_5#77;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10356_5#78;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10356_5#79;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10356_5#80;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10356_5#81;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10356_5#82;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10356_5#85;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10356_5#86;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_10356_5#87;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1035_KPNE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_104;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_104;    
;Klebsiella_pneumoniae_strain_1041_KPNE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1050;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_105371;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_106E10;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_107A5;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1088;  Human, Homo sapiens  env_biome:Homo sapiens
;Klebsiella_pneumoniae_strain_1098_KPNE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_109A4;    
;Klebsiella_pneumoniae_strain_109A6;    
;Klebsiella_pneumoniae_strain_109A7;    
;Klebsiella_pneumoniae_strain_10_GR_13;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_11;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_11;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_11;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_11;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_11;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_110;    
;Klebsiella_pneumoniae_strain_110;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_11492;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_116E3;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_116E4;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_116E6;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_117;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1183_KPNE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1194;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_11_BR_13;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_12;    
;Klebsiella_pneumoniae_strain_12;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_12;    
;Klebsiella_pneumoniae_strain_12;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_120I5;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_121;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1219;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_122E3;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1239_KPNE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1263_KPNE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_12904;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1294_KPNE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_12_BR_13;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_13;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_13;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_13;    
;Klebsiella_pneumoniae_strain_13008;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_13100;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_13177;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_132;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_132;    
;Klebsiella_pneumoniae_strain_13203;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_13207;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_13223;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_133;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_133;    
;Klebsiella_pneumoniae_strain_1331_KPNE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1335_KPNE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1337LF;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_13_GR_14;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_14;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1421(1-A);  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1428;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1431(1-C);  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_143500500;    
;Klebsiella_pneumoniae_strain_143500505;    
;Klebsiella_pneumoniae_strain_143500506;    
;Klebsiella_pneumoniae_strain_143500509;    
;Klebsiella_pneumoniae_strain_143500510;    
;Klebsiella_pneumoniae_strain_143500512;    
;Klebsiella_pneumoniae_strain_143500513;    
;Klebsiella_pneumoniae_strain_143500514;    
;Klebsiella_pneumoniae_strain_143500517;    
;Klebsiella_pneumoniae_strain_143500519;    
;Klebsiella_pneumoniae_strain_143500523;    
;Klebsiella_pneumoniae_strain_143500525;    
;Klebsiella_pneumoniae_strain_143500528;    
;Klebsiella_pneumoniae_strain_143500529;    
;Klebsiella_pneumoniae_strain_143500531;    
;Klebsiella_pneumoniae_strain_143500532;    
;Klebsiella_pneumoniae_strain_143500534;    
;Klebsiella_pneumoniae_strain_143500535;    
;Klebsiella_pneumoniae_strain_143500536;    
;Klebsiella_pneumoniae_strain_143500537;    
;Klebsiella_pneumoniae_strain_143500538;    
;Klebsiella_pneumoniae_strain_143500540;    
;Klebsiella_pneumoniae_strain_143500541;    
;Klebsiella_pneumoniae_strain_143500542;    
;Klebsiella_pneumoniae_strain_143500543;    
;Klebsiella_pneumoniae_strain_143500545;    
;Klebsiella_pneumoniae_strain_143500546;    
;Klebsiella_pneumoniae_strain_143500548;    
;Klebsiella_pneumoniae_strain_143500549;    
;Klebsiella_pneumoniae_strain_143500550;    
;Klebsiella_pneumoniae_strain_143500551;    
;Klebsiella_pneumoniae_strain_143500552;    
;Klebsiella_pneumoniae_strain_143500554;    
;Klebsiella_pneumoniae_strain_143500555;    
;Klebsiella_pneumoniae_strain_1438(2-A);  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1439(3-A);  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1446(1-B);  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1456;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1479;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_148;    
;Klebsiella_pneumoniae_strain_1491(2-B);  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1492(2-C);  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_14CSI;  Cat, Felis catus  
;Klebsiella_pneumoniae_strain_14_GR_14;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_15;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_15;    
;Klebsiella_pneumoniae_strain_15;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_15;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_15;    
;Klebsiella_pneumoniae_strain_1506(2-D);  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1520(3-B);  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1526(3-C);  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_155;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_15_GR_13;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_16;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_16;    
;Klebsiella_pneumoniae_strain_16;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_160111;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_167;    
;Klebsiella_pneumoniae_strain_167;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_16_GR_13;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_17;    
;Klebsiella_pneumoniae_strain_17;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_17;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1714;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1721;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1756;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1756;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_178;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_178;    
;Klebsiella_pneumoniae_strain_1787;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1799;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_17_GR_14;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_18;    
;Klebsiella_pneumoniae_strain_18;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_18;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_180;    
;Klebsiella_pneumoniae_strain_180;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_18025;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_18027;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_18056;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_18059;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_18066;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_18070;  Human, Homo sapiens  
;Klebsiella_pneumoniae_strain_1808200001_feces;  Mouse, Mus musculus  
;Klebsiella_pneumoniae_strain_1808200021_blood;  Mouse, Mus musculus  
;Klebsiella_pneumoniae_strain_1811130032_blood_API_5215773;  Mouse, Mus musculus  
;Klebsiella_pneumoniae_strain_1811130032_blood_API_7205773;  Mouse, Mus musculus  
;Klebsiella_pneumoniae_strain_1811130034_blood_API_5205773;  Mouse, Mus musculus  
;Klebsiella_pneumoniae_strain_1811130034_cecum_API_5215773;  Mouse, Mus musculus  
;Klebsiella_pneumoniae_strain_1811130035_blood_API_5205773;  Mouse, Mus musculus  
